"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-9517695422d643c08df8d5420497def9","CompositionRelationship","","","id-f1bc2dc08ab343e890441663e71dd870","id-b726830c978c4714b15b3e4bb52c3ca3",""
"id-7af0cff3c81f4e1f88ae12a5ebd58fd0","CompositionRelationship","","","id-f1bc2dc08ab343e890441663e71dd870","id-0fd995c3e2414725bac887abadc1338f",""
"id-acaad42315284ac8a6930decc1c41e0b","CompositionRelationship","","","id-f1bc2dc08ab343e890441663e71dd870","id-fd0078d6f55d4b3a9ca89f3c0a87e87d",""
"id-43ebb9c178974edb93b986ffc6dbb3f7","CompositionRelationship","","","id-f1bc2dc08ab343e890441663e71dd870","id-83c448bb9b884ae8b9fbbb5a8238b02c",""
"id-ea73b2f7e70640be83109cbfbd0c1db6","CompositionRelationship","","","id-f1bc2dc08ab343e890441663e71dd870","id-a085dea8331e4eb2a50562d6cdd8315f",""
"id-e873f349cd814d59921b39a93d34fe85","CompositionRelationship","","","id-f1bc2dc08ab343e890441663e71dd870","id-4b496219064b46f08207fdb0dc3bf7f0",""
"id-576f41b05a874c53af9897897a62e01c","CompositionRelationship","","","id-f1bc2dc08ab343e890441663e71dd870","id-267c13569801480cafa312c10f8dde25",""
"id-1d98db45be5040699e07555b603aaae2","CompositionRelationship","","","id-f1bc2dc08ab343e890441663e71dd870","id-557c174b893344549a3a6d13baaa3679",""
"id-3e532e0ef4fc41058bc23f1498760486","CompositionRelationship","","","id-f1bc2dc08ab343e890441663e71dd870","id-ad5d54f9b1ad4f89b3500553564db841",""
"id-6a823e4c0c584b67b1d21f1c1bac39e5","CompositionRelationship","","","id-ddcbfa21ed444c32ae8c9479d454b8aa","id-53a5500343b84360b4cd2ccb71d8ae7e",""
"id-bdba7dfa26b348d89d8256ba70b4bdd7","CompositionRelationship","","","id-ddcbfa21ed444c32ae8c9479d454b8aa","id-4862e153cce24e1bacd06b2b64e4d1c2",""
"id-07f632ee433842e88eea42abaf6c04ff","CompositionRelationship","","","id-ddcbfa21ed444c32ae8c9479d454b8aa","id-30fdaf273a5d42b4b4d1cfaee0cb0e96",""
"id-f3d397c3439f4e4f8a91841b9c8d7d1a","CompositionRelationship","","","id-ddcbfa21ed444c32ae8c9479d454b8aa","id-f9501e40aa3c4ef78b041fa4cf724469",""
"id-6b7c379d3aa44a74902ea6dc74188973","CompositionRelationship","","","id-ddcbfa21ed444c32ae8c9479d454b8aa","id-97d691a2331e473faae1fab91e18b469",""
"id-adb70745fa6947a8a03c038ac070cc96","CompositionRelationship","","","id-d465973b884c43dfbb151b3451d5f9c1","id-5fed81f7dcb741e49084b2e2aef1332e",""
"id-186ba9c212fd4f10b22150938b0b3d44","CompositionRelationship","","","id-d465973b884c43dfbb151b3451d5f9c1","id-ac7ecc8c990746118d62349be533a283",""
"id-14c2a651622a423b8445858359b47de3","CompositionRelationship","","","id-d465973b884c43dfbb151b3451d5f9c1","id-0eec409d37f6408498ed809f47cd3b1b",""
"id-5cae8a56f1bb44d08f7454a241dc392e","CompositionRelationship","","","id-d6d4a3f3cb324cc2a685d05598eac1e2","id-af4e249833af46e2924661fe6484a403",""
"id-6ad5e24c27b449a186c9d0a51821324e","CompositionRelationship","","","id-b154b2edb8dd4116ac5d4052e99a522b","id-d17c04cb17a645fb93323632e0a1e0e9",""
"id-31e9a64516354e9dbff5b690cca6846a","CompositionRelationship","","","id-d465973b884c43dfbb151b3451d5f9c1","id-04c53d6687fe4fe6801de5682ba9317e",""
"id-62e8290fc3a14a56bd3722212256ae1e","CompositionRelationship","","","id-d465973b884c43dfbb151b3451d5f9c1","id-03deeb64df304c60837e524e5c741767",""
"id-dd91cb5e7dde4f05bbc6b11bec223a08","CompositionRelationship","","","id-d465973b884c43dfbb151b3451d5f9c1","id-6e2a59b25c12433c9f19542bccf5fbac",""
"id-0fa508903dfa4424855df314a1376afc","CompositionRelationship","","","id-ca32711b842941bbbea4d2f4ee0c52bc","id-08f4a2d4d1ee42cfa23fc3ee7b0b1d7c",""
